sales_date,product_type,product_name,quantity,price
2022-08-02 17:47:00,招待,招待Gin Shot,3,0
2022-08-02 17:47:00,招待,招待Whisky Shot,1,0
2022-08-02 17:47:00,招待,員工喝 Redbull,1,0
2022-08-02 17:47:00,招待,員工喝High Ball,1,0
2022-08-02 17:47:00,招待,招待Whisky Shot,8,0
2022-08-02 17:47:00,招待,招待Whisky Shot,1,0
2022-08-02 17:47:00,招待,招待Whisky Shot,6,0
2022-08-02 17:47:00,招待,招待伯爵鮮奶茶,1,0
2022-08-02 17:47:00,招待,招待Whisky Shot,9,0
2022-08-02 17:47:00,招待,員工喝High Ball,1,0
2022-08-02 17:47:00,招待,招待伯爵鮮奶茶,1,0
2022-08-02 17:47:00,招待,招待Gin Shot,3,0
2022-08-02 18:57:00,Ocard金鑽會員點數兌換,金鑽兌換-自制滷豆干 10點,1,0
2022-08-02 18:57:00,湯物,酒蒸蛤蠣,2,640
2022-08-02 18:57:00,滷味,自制滷豆干,1,0
2022-08-02 18:57:00,炸物,可樂果炸雞,1,320
2022-08-02 19:56:00,Signature Cocktail,尋根,1,400
2022-08-02 19:56:00,Signature Cocktail,琥珀,1,380
2022-08-02 19:56:00,主食,手工高麗菜豬肉水餃,1,200
2022-08-02 19:56:00,炸物,太極雙醬薯條,1,220
2022-08-02 21:25:00,Gin,M By Mac Malden,1,450
2022-08-02 21:25:00,Signature Cocktail,龍柏,1,400
2022-08-02 21:25:00,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-02 21:25:00,Single Malt,The MACALLAN THE HARMONY COLLECTION FINE CACAO,1,800
2022-08-02 21:25:00,Single Malt,The MACALLAN DOUBLE CASK 18yo,1,900
2022-08-02 21:29:00,Beer,PERONI draft beer,1,250
2022-08-02 21:29:00,Signature Cocktail,雲初之上,1,400
2022-08-02 21:29:00,特色餐點,特製皮蛋豆腐,1,120
2022-08-02 21:34:00,Signature Cocktail,哈庫那瑪塔塔,1,0
2022-08-02 21:34:00,Signature Cocktail,山海關,1,420
2022-08-02 21:34:00,過往活動及已下架產品,#crouchide 6,1,0
2022-08-02 21:42:00,Gin,MONKEY 47,1,450
2022-08-02 21:42:00,Gin,TOBERMORY,2,900
2022-08-02 21:42:00,Gin,THE BOTANIST 22,1,450
2022-08-02 21:42:00,Gin,TOBERMORY,2,900
2022-08-02 23:53:00,Classic Cocktail,Aviation,1,350
2022-08-02 23:53:00,Classic Cocktail,Side Car,1,350
2022-08-02 23:53:00,Other Classic,Gin Fizz,1,350
2022-08-03 00:06:00,Gin,NORDÉS,1,450
2022-08-03 00:06:00,Gin,LONEWOLF CACTUS & LIME,1,400
2022-08-03 00:06:00,Gin,NORDÉS,1,450
2022-08-03 00:06:00,Ocard兌換券,黃金會員入會禮兌換券,1,0
2022-08-03 00:06:00,Ocard兌換券,O-迎賓小點,1,0
2022-08-03 00:06:00,Signature Cocktail,琥珀,1,380
2022-08-03 00:06:00,Signature Cocktail,白霜,1,380
2022-08-03 00:06:00,Signature Cocktail,尋根,1,400
2022-08-03 00:06:00,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-03 00:06:00,Soft Drink,Earl Grey Milk Tea I/H,1,220
2022-08-03 00:06:00,Special及活動,Special Cocktail,1,1400
2022-08-03 00:06:00,炸物,太極雙醬薯條,1,220
2022-08-03 00:06:00,炸物,可樂果炸雞,1,320
2022-08-03 17:28:00,香菸,雲斯頓天香5毫克,1,100
2022-08-03 17:28:00,香菸,雲斯頓天香5毫克,1,100
2022-08-03 17:35:00,Classic Cocktail,Mojito,1,350
2022-08-03 17:35:00,Classic Cocktail,God Father,1,350
2022-08-03 17:35:00,House Wine,CALERA WHITE WINE,1,2200
