"分店代碼","分店名稱","建立時間","單號","發票號碼","商品編號","商品名稱","標籤名稱","標籤價錢","商品單價","數量","銷售金額","單品折扣總額","折扣名稱","折扣總額","實收金額","淨額","商品分類","用餐方式","訂單來源","冰塊與否","On the Rocks","Neat","經典調酒","Shot種類","服務鈴","軟飲冰塊","補單","濃度","香菜與否","蔥與否","店員名稱","小黃瓜","Martini 橄欖檸檬皮","清酒","點單隻送","情人節套餐加購","杯子數量","Honey Lemon","Hot Tea","Shot杯種類","破杯","破杯原因"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 01:37:33","4","","","Gin  Tonic","",0,320,2,640,0,"",0,640,610,"Classic Cocktail","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 01:37:33","4","","","酒蒸蛤蠣","",0,320,2,640,0,"",0,640,610,"湯物","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 01:37:33","4","","","Special Cocktail(時價)","",0,400,2,800,0,"",0,800,762,"Special及活動","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 01:37:33","4","","","Special Cocktail(時價)","",0,420,2,840,0,"",0,840,800,"Special及活動","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 01:37:33","4","","","Special Cocktail(時價)","",0,420,2,840,0,"",0,840,800,"Special及活動","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 01:37:33","4","","","Special Cocktail(時價)","補單",0,420,2,840,0,"",0,840,800,"Special及活動","內用","POS","","","","","","","","補單","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-09-01 01:37:33","4","","","Special Cocktail(時價)","",0,450,4,1800,0,"",0,1800,1705,"Special及活動","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-16 21:11:17","5","","","蒜蓉朝天辣椒醬","",0,0,1,0,0,"",0,0,0,"醬料","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-16 21:11:17","5","","","酸辣土豆絲","",0,80,1,80,0,"",0,80,76,"開胃小點","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-16 21:11:17","5","","","Earl Grey Milk Tea I/H","",0,220,1,220,0,"",0,220,210,"Soft Drink","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-16 21:11:17","5","","","秘制滷味拼盤","",0,360,1,360,0,"",0,360,343,"滷味","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-16 21:11:17","5","","","CALERA WHITE WINE","",0,2200,1,2200,0,"",0,2200,2095,"House Wine","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-20 03:34:47","1","","","Vesper","",0,320,2,640,0,"",0,640,610,"Other Classic","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-24 23:31:53","10","","","尋根","",0,400,1,400,0,"",0,400,381,"Signature Cocktail","內用","POS","","","","","","","","","","","","","","","","","","","","","","",""
