"排名","類別","銷售數量","數量占比%","銷售金額","金額占比%"
"","Soda","1","1.39%","100","0.9%"
" 17 ","開胃小點","64","1.09%","6,040","0.49%"
"","臥龍三椒鳳爪","23","35.94%","2,760","45.7%"
"","酸辣土豆絲","31","48.44%","2,480","41.06%"
"","經典台式泡菜","10","15.62%","800","13.24%"
" 18 ","Cognac","4","0.07%","5,700","0.47%"
"","Hennessy V.S.O.P","4","100%","5,700","100%"
" 19 ","香菸","47","0.8%","5,150","0.42%"
"","七星雙味晶球5毫克","17","36.17%","2,125","41.26%"
"","雲斯頓天香5毫克","16","34.04%","1,600","31.07%"
"","雲斯頓呱旋風6毫克","13","27.66%","1,300","25.24%"
"","七星硬盒10毫克","1","2.13%","125","2.43%"
" 20 ","Champagne","1","0.02%","5,000","0.41%"
"","Veuve Clicquot BRUT","1","100%","5,000","100%"
" 21 ","甜點","29","0.49%","3,480","0.28%"
"","冰心綠豆糕","18","62.07%","2,160","62.07%"
"","黑金流沙包","11","37.93%","1,320","37.93%"
" 22 ","杯子","39","0.66%","900","0.07%"
"","破杯費(小Shot杯)","4","10.26%","300","33.33%"
"","破杯費(薄威士忌杯)","4","10.26%","300","33.33%"
"","破杯費(東方美人香檳杯)","1","2.56%","300","33.33%"
"","破杯費(淺碟杯)","1","2.58%","0","0.01%"
"","破杯費(刺蝟杯)","2","5.13%","0","0%"
"","破杯費(金邊水杯)","11","28.21%","0","0%"
"","破杯費(大馬丁尼杯)","2","5.13%","0","0%"
"","破杯費(小馬丁尼杯)","3","7.69%","0","0%"
"","破杯費(厚可林杯)","3","7.69%","0","0%"
"","破杯費(Johnnie Walker小Shot杯)","2","5.13%","0","0%"
"","破杯費(薄可林杯)","1","2.56%","0","0%"
"","破杯費(PERONI啤酒杯)","1","2.56%","0","0%"
"","破杯費(白酒杯)","1","2.56%","0","0%"
"","破杯費(330ml有把啤酒杯)","1","2.56%","0","0%"
"","破杯費(Johnnie Walker小公杯)","1","2.56%","0","0%"
"","破杯費(小薄威士忌杯)","1","2.56%","0","0%"
" 23 ","Bourbon","2","0.03%","600","0.05%"
"","Makers Mark","1","50%","300","50%"
"","James E. Pepper 1776 Straight Rye","1","50%","300","50%"
" 24 ","Blended","1","0.02%","500","0.04%"
"","ROYAL SALUTE 21yo","1","100%","500","100%"
" 25 ","燒酒","1","0.02%","250","0.02%"
"","韓國初飲初樂水蜜桃燒酒","1","100%","250","100%"
" 26 ","醬料","17","0.29%","80","0.01%"
"","雙醬","1","5.88%","50","62.5%"
"","松露酸奶醬","1","5.88%","30","37.5%"
"","蒜蓉朝天辣椒醬","10","58.82%","0","0%"
"","番茄醬","2","11.76%","0","0%"
"","滷味腐乳辣醬","3","17.66%","0","0%"
" 27 ","招待","1,691","28.83%","0","0%"
"","員工喝High Ball","70","4.14%","0","null%"
"","招待Whisky Shot","772","45.65%","0","null%"
"","員工喝 Redbull","47","2.78%","0","null%"
"","招待伯爵鮮奶茶","6","0.35%","0","null%"
"","招待Rum Shot","42","2.48%","0","null%"
"","招待Gin Shot","429","25.37%","0","null%"
"","招待Tequila Shot","206","12.18%","0","null%"
"","招待 特調Shot","63","3.73%","0","null%"
"","員工喝Gin&Tonic","15","0.89%","0","null%"
"","公關招待薯條","3","0.18%","0","null%"
"","招待 Vodka Shot","37","2.19%","0","null%"
"","招待金鳳烏龍鮮奶茶","1","0.06%","0","100%"
" 28 ","Ocard兌換券","115","1.96%","0","0%"
"","黃金會員餐食兌換券","7","6.09%","0","null%"
"","O-壽星特調","18","15.65%","0","null%"
"","會員生日禮","19","16.52%","0","null%"
"","鉑金會員升階禮兌換券","6","5.22%","0","null%"
"","黃金會員入會禮兌換券","17","14.78%","0","null%"
"","鉑金會員二樓限定餐食兌換券","2","1.74%","0","null%"
"","金鑽會員升階禮兌換券","2","1.74%","0","null%"
"","鉑金會員酒水兌換券","2","1.74%","0","null%"
"","金鑽會員二樓限定酒水兌換券","4","3.48%","0","null%"
"","問卷禮-免費乙份太極雙醬薯條","1","0.87%","0","null%"
"","O-迎賓小點","17","14.78%","0","null%"
"","黃金會員二樓限定酒水兌換券","18","15.65%","0","null%"
"","金鑽會員餐食兌換券","2","1.74%","0","100%"
" 29 ","Halfway 0731-0804","45","0.77%","0","0%"
"","#crouchide 1","3","6.67%","0","null%"
"","#crouchide 2","3","6.67%","0","null%"
"","#crouchide 3","4","8.89%","0","null%"
"","#crouchide 5","3","6.67%","0","null%"
"","#crouchide 6","3","6.67%","0","null%"
"","綻","26","57.78%","0","null%"
"","#crouchide 4","3","6.65%","0","100%"
" 30 ","Ocard金鑽會員點數兌換","9","0.15%","0","0%"
"","金鑽兌換-自制滷豆干 10點","2","22.22%","0","null%"
"","金鑽兌換-純飲Shots乙盤(6杯) 25點","5","55.56%","0","null%"
"","金鑽兌換-秘製滷味拼盤 25點","1","11.11%","0","null%"
"","金鑽兌換-手工高麗菜豬肉水餃 20點","1","11.11%","0","100%"
" 31 ","過往活動及已下架產品","1","0.02%","0","0%"
"","CHILENSIS RESERVA WHITE WINE","1","100%","0","100%"
"合計","","5,865","100%","1,221,880","100%"
