sales_date,product_type,product_name,amount,price
2022-08-04,招待,招待Gin Shot,1,0
2022-08-04,招待,招待Whisky Shot,16,0
2022-08-04,招待,招待Rum Shot,3,0
2022-08-04,招待,招待Gin Shot,3,0
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,滷味,自制滷豆干,1,100
2022-08-04,Gin,NORDÉS,1,450
2022-08-04,Signature Cocktail,西方世界,1,400
2022-08-04,Signature Cocktail,龍柏,1,400
2022-08-04,Gin,NORDÉS,1,450
2022-08-04,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-04,下酒菜,塔香菌菇炒蝦,1,380
2022-08-04,Signature Cocktail,山海關,1,420
2022-08-04,下酒菜,松阪豬炒水蓮,1,220
2022-08-04,Gin,NORDÉS,1,450
2022-08-04,Signature Cocktail,浮生若夢,1,400
2022-08-04,主食,香辣干燒蝦拌麵,1,260
2022-08-04,Signature Cocktail,白霜,1,380
2022-08-04,炸物,可樂果炸雞,1,320
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,炸物,太極雙醬薯條,1,220
2022-08-04,Signature Cocktail,東方美人,1,420
2022-08-04,下酒菜,松阪豬炒水蓮,1,220
2022-08-04,開胃小點,經典台式泡菜,1,80
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,下酒菜,塔香菌菇炒蝦,1,380
2022-08-04,炸物,祥鳳雞翅,1,280
2022-08-04,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-04,主食,干貝雞汁拌麵,1,260
2022-08-04,特色餐點,蒜酥黃金魚皮,1,220
2022-08-04,湯物,番茄豚肉湯,1,320
2022-08-04,炸物,祥鳳雞翅,1,280
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,炸物,太極雙醬薯條,1,220
2022-08-04,Signature Cocktail,哈庫那瑪塔塔,1,420
2022-08-04,炸物,祥鳳雞翅,1,280
2022-08-04,Signature Cocktail,炙陽,1,380
2022-08-04,Beer,1664 白啤酒,1,200
2022-08-04,Signature Cocktail,琥珀,1,380
2022-08-04,Classic Cocktail,Mojito,1,350
2022-08-04,Signature Cocktail,琥珀,2,760
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,Signature Cocktail,琥珀,1,380
2022-08-04,Special及活動,Special Cocktail,1,420
2022-08-04,主食,手工高麗菜豬肉水餃,1,200
2022-08-04,過往活動及已下架產品,綻,1,0
2022-08-04,開胃小點,經典台式泡菜,1,80
2022-08-04,特色餐點,芥末蘋果蝦球,1,340
2022-08-04,Signature Cocktail,浮生若夢,1,0
2022-08-04,過往活動及已下架產品,#crouchide 4,1,0
2022-08-04,過往活動及已下架產品,綻,1,0
2022-08-04,Beer,PERONI draft beer,1,250
2022-08-04,Other Classic,Gin Fizz,1,350
2022-08-04,特色餐點,烏金堅果乾酪燒,1,240
2022-08-04,Beer,1664 白啤酒,1,200
2022-08-04,Signature Cocktail,盛夏 (PERONI仲夏限定特調),1,400
2022-08-04,Ocard兌換券,O-壽星特調,1,0
2022-08-04,Ocard兌換券,會員生日禮,1,0
2022-08-04,Classic Cocktail,Old Fashion,1,350
2022-08-04,Ocard兌換券,黃金會員入會禮兌換券,1,0
2022-08-04,Signature Cocktail,尋根,1,400
2022-08-04,Ocard兌換券,O-迎賓小點,1,0
2022-08-04,主食,干貝雞汁拌麵,1,260
2022-08-04,炸物,可樂果炸雞,1,320
