sales_date,product_type,product_name,product_price,product_amount,sales_price,discount,discount_total,real_receive_price
2022-08-29 23:27:54,Beer,PERONI draft beer,250,2,500,500,500,0
2022-08-02 00:11:56,Signature Cocktail,龍柏,0,1,0,0,0,0
2022-08-02 00:11:56,Signature Cocktail,白霜,0,1,0,0,0,0
2022-08-02 00:11:56,Signature Cocktail,琥珀,0,1,0,0,0,0
2022-08-02 00:11:56,Signature Cocktail,炙陽,0,1,0,0,0,0
2022-08-29 23:24:56,Other Classic,Gin Fizz,350,1,350,0,0,350
2022-08-29 23:24:56,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-29 23:24:56,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-29 23:24:56,Signature Cocktail,浪子之琴,420,1,420,0,0,420
2022-08-09 22:15:35,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-09 22:15:35,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-09 22:15:35,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-09 22:15:35,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-19 23:52:33,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-19 23:52:33,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-19 23:52:33,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-19 23:52:33,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-09 23:30:17,Beer,1664 白啤酒,200,1,200,0,0,200
2022-08-09 23:30:17,House Wine,Rockbare McLaren Vale Grenache(Glass),250,1,250,0,0,250
2022-08-09 23:30:17,House Wine,Rockbare McLaren Vale Grenache(Glass),250,1,250,0,0,250
2022-08-09 23:30:17,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-09 23:30:17,Signature Cocktail,浪子之琴,420,1,420,0,0,420
2022-08-09 23:30:17,Signature Cocktail,琥珀,380,2,760,0,0,760
2022-08-09 23:30:17,Signature Cocktail,哈庫那瑪塔塔,420,2,840,0,0,840
2022-08-20 02:57:29,Other Classic,JagerBomb,350,1,350,0,105,245
2022-08-21 02:09:21,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-21 02:09:21,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-21 02:09:21,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-21 02:09:21,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-21 02:09:21,Signature Cocktail,炙陽,380,1,380,0,0,380
2022-08-21 02:09:21,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-21 02:09:21,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-21 02:09:21,Signature Cocktail,龍柏,400,1,400,0,0,400
2022-08-21 02:09:21,Signature Cocktail,浮生若夢,400,1,400,0,0,400
2022-08-21 02:09:21,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-07 01:24:57,Classic Cocktail,Gin  Tonic,320,1,320,0,96,224
2022-08-20 02:19:05,Shot,6 Cocktail Shots(6杯一樣),0,1,0,0,0,0
2022-08-20 02:19:05,Signature Cocktail,炙陽,380,1,380,0,0,380
2022-08-20 02:19:05,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-20 02:19:05,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-20 02:19:05,Signature Cocktail,哈庫那瑪塔塔,420,1,420,0,0,420
2022-08-20 02:19:05,Signature Cocktail,東方美人,420,1,420,0,0,420
2022-08-11 22:32:15,Signature Cocktail,琥珀,380,1,380,0,0,380
2022-08-11 22:32:15,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-11 22:32:15,Signature Cocktail,尋根,400,1,400,0,0,400
2022-08-06 20:08:26,House Wine,Rockbare Clare Valley Riesling(Glass),0,2,0,0,0,0
2022-08-06 20:08:26,Signature Cocktail,浮生若夢,400,1,400,0,0,400
2022-08-06 20:08:26,Signature Cocktail,雲初之上,400,1,400,0,0,400
2022-08-30 01:43:12,Gin,FOUR PILLARS BLOODY SHIRAZ(Fizz),450,1,450,0,0,450
2022-08-30 01:43:12,Gin,NORDÉS(Fizz),450,1,450,0,0,450
2022-08-30 01:43:12,Signature Cocktail,仲夏 (PERONI仲夏限定特調),450,1,450,0,0,450
