"交易序號","發票編號","類別名稱","商品名稱","數量","點單金額","客數","商品單位"
"20220802 18570006","","滷味","自制滷豆干","1","0","0","選擇追蹤單位"
"20220802 18570006","","Ocard金鑽會員點數兌換","金鑽兌換-自制滷豆干 10點","1","0","0","選擇追蹤單位"
"20220802 18570006","","炸物","可樂果炸雞","1","320","0","選擇追蹤單位"
"20220802 19560007","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220802 19560007","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220802 19560007","","主食","手工高麗菜豬肉水餃","1","200","0","選擇追蹤單位"
"20220802 19560007","","炸物","太極雙醬薯條","1","220","0","選擇追蹤單位"
"20220802 21250008","","Signature Cocktail","龍柏","1","400","0","選擇追蹤單位"
"20220802 21250008","","Single Malt","The MACALLAN THE HARMONY COLLECTION FINE CACAO","1","800","0",""
"20220802 21250008","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220802 21250008","","Gin","M By Mac Malden","1","450","0","選擇追蹤單位"
"20220802 21250008","","Single Malt","The MACALLAN DOUBLE CASK 18yo","1","900","0","選擇追蹤單位"
"20220802 21290009","","特色餐點","特製皮蛋豆腐","1","120","0","選擇追蹤單位"
"20220802 21290009","","Beer","PERONI draft beer","1","250","0","選擇追蹤單位"
"20220802 21290009","","Signature Cocktail","雲初之上","1","400","0","選擇追蹤單位"
"20220802 21340010","","Signature Cocktail","哈庫那瑪塔塔","1","0","0","選擇追蹤單位"
"20220802 21340010","","Signature Cocktail","山海關","1","420","0","選擇追蹤單位"
"20220802 21340010","","過往活動及已下架產品","#crouchide 6","1","0","0","選擇追蹤單位"
"20220802 21420011","","Gin","MONKEY 47","1","450","0","選擇追蹤單位"
"20220802 21420011","","Gin","TOBERMORY","2","900","0","選擇追蹤單位"
"20220802 21420011","","Gin","THE BOTANIST 22","1","450","0","選擇追蹤單位"
"20220802 21420011","","Gin","TOBERMORY","2","900","0","選擇追蹤單位"
"20220802 23530013","","Classic Cocktail","Aviation","1","350","0",""
"20220802 23530013","","Other Classic","Gin Fizz","1","350","0",""
"20220802 23530013","","Classic Cocktail","Side Car","1","350","0",""
"20220803 00060014","","炸物","太極雙醬薯條","1","220","0","選擇追蹤單位"
"20220803 00060014","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220803 00060014","","Signature Cocktail","白霜","1","380","0","選擇追蹤單位"
"20220803 00060014","","Soft Drink","Earl Grey Milk Tea I/H","1","220","0","選擇追蹤單位"
"20220803 00060014","","Special及活動","Special Cocktail","1","1400","0","選擇追蹤單位"
"20220803 00060014","","Ocard兌換券","黃金會員入會禮兌換券","1","0","0","選擇追蹤單位"
"20220803 00060014","","Ocard兌換券","O-迎賓小點","1","0","0","選擇追蹤單位"
"20220803 00060014","","Gin","NORDÉS","1","450","0","選擇追蹤單位"
"20220803 00060014","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220803 00060014","","Gin","LONEWOLF CACTUS & LIME","1","400","0","選擇追蹤單位"
"20220803 00060014","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220803 00060014","","Gin","NORDÉS","1","450","0","選擇追蹤單位"
"20220803 00060014","","炸物","可樂果炸雞","1","320","0","選擇追蹤單位"
"20220803 17280001","","香菸","雲斯頓天香5毫克","1","100","0","選擇追蹤單位"
"20220803 17280002","","香菸","雲斯頓天香5毫克","1","100","0","選擇追蹤單位"
"20220803 17350003","","Soft Drink","Coke","1","100","0","選擇追蹤單位"
"20220803 17350003","","主食","干貝雞汁拌麵","1","260","0","選擇追蹤單位"
"20220803 17350003","","Other Classic","Long Island Iced Tea","1","380","0",""
"20220803 17350003","","Classic Cocktail","Mojito","1","350","0",""
"20220803 17350003","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220803 17350003","","Other Classic","JagerBomb","1","350","0","選擇追蹤單位"
"20220803 17350003","","Classic Cocktail","God Father","1","350","0",""
"20220803 17350003","","下酒菜","松阪豬炒水蓮","1","220","0","選擇追蹤單位"
"20220803 17350003","","特色餐點","蒜酥黃金魚皮","1","220","0","選擇追蹤單位"
"20220803 17350003","","炸物","轟炸雞軟骨","1","240","0","選擇追蹤單位"
"20220803 17350003","","主食","香辣干燒蝦拌麵","1","260","0","選擇追蹤單位"
"20220803 17350003","","Soft Drink","Coke","1","100","0","選擇追蹤單位"
"20220803 17350003","","滷味","秘制滷味拼盤","1","360","0","選擇追蹤單位"
"20220803 17350003","","炸物","太極雙醬薯條","1","220","0","選擇追蹤單位"
"20220803 17350003","","炸物","可樂果炸雞","1","320","0","選擇追蹤單位"
"20220803 17350003","","炸物","酥炸廣島牡蠣","1","320","0","選擇追蹤單位"
"20220803 17350003","","Signature Cocktail","雲嫣","1","380","0","選擇追蹤單位"
"20220803 17350004","","House Wine","CALERA WHITE WINE","1","2200","0","選擇追蹤單位"
"20220803 17350004","","主食","干貝雞汁拌麵","1","260","0","選擇追蹤單位"
"20220803 17350004","","滷味","秘制滷味拼盤","1","360","0","選擇追蹤單位"
"20220803 17350004","","主食","手工高麗菜豬肉水餃","1","200","0","選擇追蹤單位"
"20220803 17350005","","Ocard兌換券","O-壽星特調","1","0","0","選擇追蹤單位"
"20220803 17350005","","Special及活動","Special Mocktail","1","250","0","選擇追蹤單位"
"20220803 17350005","","Special及活動","主廚限定餐點","1","280","0","選擇追蹤單位"
"20220803 17350005","","主食","野菇櫻花蝦飯","1","250","0","選擇追蹤單位"
"20220803 17350005","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220803 17350005","","Signature Cocktail","哈庫那瑪塔塔","1","420","0","選擇追蹤單位"
"20220803 17350005","","炸物","吉祥炸物拼盤","1","450","0","選擇追蹤單位"
"20220803 17350005","","主食","手工高麗菜豬肉水餃","1","200","0","選擇追蹤單位"
"20220803 17350005","","主食","干貝雞汁拌麵","1","260","0","選擇追蹤單位"
"20220803 17350005","","Signature Cocktail","山海關","1","420","0","選擇追蹤單位"
"20220803 17350005","","Ocard兌換券","會員生日禮","1","0","0","選擇追蹤單位"
"20220803 17360007","","Ocard兌換券","黃金會員餐食兌換券","1","0","0","選擇追蹤單位"
"20220803 17360007","","Single Malt","THE DALMORE 18yo","1","800","0","選擇追蹤單位"
"20220803 17360007","","主食","野菇櫻花蝦飯","1","250","0","選擇追蹤單位"
"20220803 17360007","","過往活動及已下架產品","#crouchide 1","1","0","0","選擇追蹤單位"
"20220803 17360007","","過往活動及已下架產品","#crouchide 3","1","0","0","選擇追蹤單位"
"20220803 17360007","","醬料","雙醬","1","50","0","選擇追蹤單位"
"20220803 17360007","","滷味","香滷牛三寶拼盤","1","380","0","選擇追蹤單位"
"20220803 17360007","","主食","干貝雞汁拌麵","1","260","0","選擇追蹤單位"
"20220803 17360007","","過往活動及已下架產品","綻","1","0","0",""
"20220803 17360007","","特色餐點","蒜酥黃金魚皮","1","220","0","選擇追蹤單位"
"20220803 17360007","","湯物","酒蒸蛤蠣","1","320","0","選擇追蹤單位"
"20220803 17360007","","過往活動及已下架產品","綻","1","0","0",""
"20220803 17360007","","炸物","吉祥炸物拼盤","1","450","0","選擇追蹤單位"
"20220803 17360007","","下酒菜","松阪豬炒水蓮","1","220","0","選擇追蹤單位"
"20220803 17360007","","Ocard兌換券","O-迎賓小點","1","0","0","選擇追蹤單位"
"20220803 17360007","","Signature Cocktail","綠洲","1","400","0","選擇追蹤單位"
"20220803 17360007","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220803 17360007","","主食","手工高麗菜豬肉水餃","1","200","0","選擇追蹤單位"
"20220803 17360007","","Signature Cocktail","琥珀","1","0","0","選擇追蹤單位"
"20220803 17360007","","Ocard兌換券","黃金會員入會禮兌換券","1","0","0","選擇追蹤單位"
"20220803 17360007","","Signature Cocktail","白霜","1","0","0","選擇追蹤單位"
"20220803 17360007","","滷味","自制滷豆干","1","0","0","選擇追蹤單位"
"20220803 17360007","","炸物","轟炸雞軟骨","1","240","0","選擇追蹤單位"
"20220803 17360007","","特色餐點","芥末蘋果蝦球","1","340","0","選擇追蹤單位"
"20220803 17360007","","Signature Cocktail","白霜","1","380","0","選擇追蹤單位"
"20220803 17360007","","炸物","太極雙醬薯條","1","220","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Whisky Shot","5","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Whisky Shot","7","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Gin Shot","5","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Whisky Shot","5","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Whisky Shot","5","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Gin Shot","9","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Whisky Shot","9","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Whisky Shot","9","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Rum Shot","3","0","0","選擇追蹤單位"
"20220803 18370008","","招待","招待Gin Shot","6","0","0","選擇追蹤單位"
"20220803 18420009","","Classic Cocktail","Negroni","1","380","0",""
"20220803 18420009","","Special及活動","Special Cocktail","1","380","0","選擇追蹤單位"
"20220803 19120010","","Classic Cocktail","Aviation","1","350","0",""
"20220803 19350011","","滷味","自制滷豆干","1","100","0","選擇追蹤單位"
"20220803 19350011","","Signature Cocktail","琥珀","1","380","0","選擇追蹤單位"
"20220803 19350011","","過往活動及已下架產品","綻","2","0","0",""
"20220803 21130013","","特色餐點","芥末蘋果蝦球","1","340","0","選擇追蹤單位"
"20220803 21130013","","Signature Cocktail","尋根","1","400","0","選擇追蹤單位"
"20220803 21130013","","Classic Cocktail","Cosmopolitan","1","300","0",""
"20220803 21130013","","Special及活動","Special Cocktail","1","450","0","選擇追蹤單位"
"20220803 21170014","","下酒菜","油潑香辣腱子肉","1","240","0","選擇追蹤單位"
"20220803 21170014","","過往活動及已下架產品","綻","5","0","0",""
"20220803 21170014","","招待","招待Gin Shot","7","0","0","選擇追蹤單位"
"20220803 21170014","","過往活動及已下架產品","綻","1","0","0",""
"20220803 22040015","","過往活動及已下架產品","綻","1","0","0",""
"20220803 22040015","","Beer","PERONI draft beer","1","250","0","選擇追蹤單位"
"20220803 22040015","","主食","手工高麗菜豬肉水餃","1","200","0","選擇追蹤單位"
"20220803 22040015","","過往活動及已下架產品","#crouchide 1","1","0","0","選擇追蹤單位"
