"分店代碼","建立時間","交易序號","用餐方式","桌號","單號","pos機號","發票號碼","服務費","低銷","折扣總額","結帳金額","淨額"
"01","2022-08-09 21:48:20","20220809 21240007","內用","B3","7","2","","84","0","0","924","880"
"01","2022-08-09 22:15:35","20220809 17380001","內用","B6","1","2","","256","0","0","2816","2682"
"01","2022-08-09 22:49:14","20220809 20310004","內用","A1","4","2","","407","0","0","4477","4264"
"01","2022-08-09 23:30:17","20220809 20590005","內用","A10","5","2","","312","0","0","3432","3269"
"01","2022-08-09 23:48:15","20220809 23470009","內用","A7","2-1","2","","1165","0","0","12815","12205"
"01","2022-08-10 00:00:32","20220809 21360008","內用","B5","8","2","","80","0","240","640","610"
"01","2022-08-10 00:08:38","20220810 00070010","內用","A7","9","2","","60","0","0","660","629"
"01","2022-08-10 00:15:50","20220810 00150011","內用","A7","10","2","","22","0","0","242","230"
"01","2022-08-10 00:40:22","20220810 00390013","內用","A7","12","2","","45","0","0","495","471"
"01","2022-08-10 00:42:57","20220810 00400014","內用","A1","13","2","","25","0","0","275","262"
"01","2022-08-10 01:32:22","20220810 00200012","內用","A3","11","2","","201","0","0","2211","2106"
"01","2022-08-10 01:43:55","20220809 21220006","內用","B8","6","2","","212","0","0","2332","2221"
"01","2022-08-10 01:46:36","20220810 01410017","內用","B8","6-1","2","","98","0","0","1078","1027"
"01","2022-08-10 01:47:21","20220809 19440003","內用","員工","3","2","","0","0","0","0","0"
"01","2022-08-10 01:52:16","20220810 01490018","內用","員工","16","2","","0","0","0","0","0"
"01","2022-08-10 20:23:14","20220810 20230006","內用","B7","6","2","DK09469935","38","0","0","418","398"
"01","2022-08-10 20:44:12","20220810 20290007","內用","B6","7","2","","32","0","0","352","335"
"01","2022-08-10 21:00:14","20220810 17440002","內用","A7","2","2","","847","0","0","9317","8873"
"01","2022-08-10 21:12:25","20220810 19000004","內用","B1","4","2","","208","0","120","2168","2065"
"01","2022-08-10 22:05:59","20220810 22040011","內用","站B","11","2","DK09469936","40","0","0","440","419"
"01","2022-08-10 23:01:49","20220810 23000013","內用","站B","13","2","","0","0","0","100","95"
"01","2022-08-10 23:20:28","20220810 22440012","內用","B5","12","2","","86","0","0","946","901"
"01","2022-08-11 00:30:03","20220810 22040010","內用","B7","10","2","","114","0","376","878","836"
"01","2022-08-11 01:21:21","20220811 00080014","內用","B3","14","2","","182","0","0","2002","1907"
"01","2022-08-11 01:24:49","20220811 00350015","內用","B9","15","2","","26","0","0","286","272"
"01","2022-08-11 01:28:05","20220810 18030003","內用","員工","3","2","","0","0","0","0","0"
"01","2022-08-11 02:06:44","20220811 02000001","內用","B7","1","2","","76","0","0","836","796"
"01","2022-08-11 17:49:04","20220811 17480006","內用","員工","6","2","","0","0","0","100","95"
"01","2022-08-11 18:01:18","20220810 01360016","內用","站A","15","2","","0","0","0","350","333"
"01","2022-08-11 20:45:07","20220811 20430008","內用","站A","8","2","","0","0","0","125","119"
"01","2022-08-11 21:29:46","20220811 17440002","內用","A1","2","2","","459","0","0","5049","4809"
"01","2022-08-11 21:59:31","20220811 21590010","內用","A3","3-1","2","","38","0","0","418","398"
"01","2022-08-11 22:32:15","20220811 22310011","內用","A3","3-2","2","","118","0","0","1298","1236"
"01","2022-08-11 23:52:46","20220811 21500009","內用","A1","9","2","","203","0","250","1983","1889"
"01","2022-08-11 23:57:26","20220811 17440004","內用","B5","4","2","","316","0","0","3476","3310"
"01","2022-08-12 00:29:54","20220811 17440003","內用","A3","3","2","","319","0","0","3509","3342"
"01","2022-08-12 01:07:27","20220812 00200013","內用","B4","10","2","DK09469937","128","0","0","1408","1341"
"01","2022-08-12 01:32:49","20220811 17440005","內用","A10","5","2","","152","0","0","1672","1592"
"01","2022-08-12 01:33:08","20220812 01250015","內用","A10","12","2","","50","0","250","300","286"
"01","2022-08-12 01:34:09","20220812 01150014","內用","B9","11","2","","25","0","0","275","262"
"01","2022-08-12 01:36:01","20220811 18000007","內用","員工","7","2","","0","0","0","0","0"
"01","2022-08-12 19:06:09","20220812 18010011","內用","A5","11","2","","131","0","0","1441","1372"
"01","2022-08-12 19:13:03","20220812 17420009","內用","B6","9","2","","260","0","0","2860","2724"
"01","2022-08-12 20:49:01","20220812 18230012","內用","A6","12","2","","231","0","0","2541","2420"
"01","2022-08-12 21:23:55","20220812 17420005","內用","A10","5","2","","551","0","0","6061","5772"
"01","2022-08-12 21:35:47","20220812 20390016","內用","A6","16","2","","176","0","120","1816","1730"
"01","2022-08-12 21:50:05","20220812 17420006","內用","A12","6","2","","268","0","0","2948","2808"
"01","2022-08-12 22:08:43","20220812 20350015","內用","A5","15","2","","0","0","0","1200","1143"
"01","2022-08-12 22:23:19","20220812 19280013","內用","B6","13","2","","315","0","0","3465","3300"
"01","2022-08-12 22:33:22","20220812 17410002","內用","A1","2","2","","485","0","0","5335","5081"
"01","2022-08-12 22:46:10","20220812 17420008","內用","B4","8","2","","180","0","0","1980","1886"
"01","2022-08-12 22:52:57","20220812 21120017","內用","A6","17","2","","65","0","0","715","681"
"01","2022-08-12 23:27:24","20220812 17410004","內用","A7","4","2","","380","0","0","4180","3981"
"01","2022-08-12 23:41:49","20220812 21290019","內用","A5","19","2","","151","0","0","1661","1582"
"01","2022-08-12 23:46:40","20220812 17410003","內用","A3","3","2","","469","0","0","5159","4913"
"01","2022-08-12 23:50:17","20220812 21400021","內用","大VIP-A","21","2","DK09469938","496","0","0","5456","5196"
"01","2022-08-13 00:16:02","20220812 17420010","內用","B8","10","2","","350","0","0","3850","3667"
"01","2022-08-13 00:55:10","20220812 23080025","內用","A5","25","2","","208","0","0","2288","2179"
"01","2022-08-13 00:56:30","20220813 00560030","內用","站A","30","2","","0","0","0","100","95"
