"分店代碼","分店名稱","建立時間","單號","用餐方式","pos機號","發票號碼","服務費","結帳金額","現金券金額","實收金額","交易金額","淨額","稅額","折扣總額","銷售總額","單品折扣總額","整單折扣總額","折扣名稱","付款方式","員工"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 02:30:00","29","內用",2,"",198,2178,0,2178,2178,2074,104,0,2178,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 21:29:05","5","內用",2,"",120,1320,0,1320,1320,1257,63,0,1320,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 21:37:06","10","內用",2,"",0,125,0,125,125,119,6,0,125,0,0,,"現金","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 22:38:52","4","內用",2,"",202,2002,0,2002,2002,1907,95,220,2222,220,0,"吧台經理招待","信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 22:46:39","8","內用",2,"",110,1210,0,1210,1210,1152,58,0,1210,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 23:53:26","7","內用",2,"",238,2618,0,2618,2618,2493,125,0,2618,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 23:54:59","12","內用",2,"",119,1309,0,1309,1309,1247,62,0,1309,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-28 23:56:28","2","內用",2,"",373,4103,0,4103,4103,3908,195,0,4103,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 00:10:50","13","內用",2,"",75,825,0,825,825,786,39,0,825,0,0,,"信用卡","90466979"
"01","臥虎藏龍 Crouch & Hide : Tiger Dragon Bar","2022-08-29 00:17:11","11","內用",2,"",141,1551,0,1551,1551,1477,74,0,1551,0,0,,"信用卡","90466979"
